team,home_wins,away_wins,home_matches,away_matches,home_win_percentage,away_win_percentage
Rising Pune Supergiant,5,5,8,8,62.5,62.5
Mumbai Indians,58,51,101,86,57.425742574,59.302325581
Chennai Super Kings,51,49,89,75,57.303370787,65.333333333
Delhi Capitals,3,7,6,10,50,70
Sunrisers Hyderabad,30,28,63,45,47.619047619,62.222222222
Rajasthan Royals,29,46,67,80,43.283582090,57.5
Deccan Chargers,18,11,43,32,41.860465116,34.375
Kings XI Punjab,38,44,91,85,41.758241758,51.764705882
Royal Challengers Bangalore,35,49,85,95,41.176470588,51.578947368
Kolkata Knight Riders,34,58,83,95,40.963855422,61.052631579
Delhi Capitals,25,42,72,89,34.722222222,47.191011236
Pune Warriors,6,6,20,26,30,23.076923077
Kochi Tuskers Kerala,2,4,7,7,28.571428571,57.142857143
Gujarat Lions,1,12,14,16,7.142857143,75
